"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "SCSS", "JSON", "PostCSS", "comment", "blank", "total"
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/code-block-button/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/code-block-button/use-code-block.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 73, 40, 257
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-button/color-highlight-button.scss", "SCSS", 0, 0, 0, 0, 44, 0, 0, 1, 5, 50
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-button/color-highlight-button.tsx", "TypeScript JSX", 0, 0, 116, 0, 0, 0, 0, 40, 14, 170
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-button/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-button/use-color-highlight.ts", "TypeScript", 261, 0, 0, 0, 0, 0, 0, 40, 39, 340
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-popover/color-highlight-popover.tsx", "TypeScript JSX", 0, 0, 178, 0, 0, 0, 0, 15, 17, 210
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/color-highlight-popover/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-button/heading-button.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 0, 15, 11, 126
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-button/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-button/use-heading.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 82, 47, 322
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-dropdown-menu/heading-dropdown-menu.tsx", "TypeScript JSX", 0, 0, 99, 0, 0, 0, 0, 16, 13, 128
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-dropdown-menu/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/heading-dropdown-menu/use-heading-dropdown-menu.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 59, 16, 133
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/image-upload-button/image-upload-button.tsx", "TypeScript JSX", 0, 0, 99, 0, 0, 0, 0, 19, 14, 132
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/image-upload-button/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
